campaign_id,campaign_name,channel,start_date,end_date,budget,leads_generated,conversion_rate,revenue,status,impressions,clicks,ctr,engagement_score,campaign_manager,notes
CMP00020,Brand Awareness Rich,Influencer,2024-04-15,2025-02-23,12929.5,2511,2.34,111742.0,Ongoing,330365,37667,11.4,6.8,Kiran Joshi,
CMP00021,Brand Awareness Prove,Search Engine,2023-10-30,2025-01-11,35556.57,3249,3.64,27656.22,Ongoing,65820,49938,75.87,4.56,Ravi Patel,
CMP00022,Event Promotion No,Radio,2024-02-16,2025-01-25,73363.31,2288,7.36,44413.59,Planned,788201,24960,3.17,7.42,Ravi Reddy,
CMP00023,Seasonal Campaign Product,Radio,2024-01-11,2025-07-29,55508.11,2664,14.93,72820.01,Ongoing,322879,21295,6.6,2.79,Vikram Patel,
CMP00024,Discount Offer Arm,TV,2023-08-15,2024-10-22,24152.05,1641,2.52,15928.05,Completed,719315,12039,1.67,9.01,Anita Desai,
CMP00025,Discount Offer City,TV,2023-07-08,2023-07-17,92610.66,2484,6.97,75831.11,Ongoing,328069,25438,7.75,3.59,Ravi Sharma,
CMP00026,Event Promotion Be,Influencer,2023-09-02,2025-02-11,37133.25,1381,1.59,60796.25,Completed,777997,21830,2.81,4.31,Sanjay Kumar,
CMP00027,Discount Offer Could,Influencer,2024-02-12,2025-01-30,36908.97,3247,11.25,145718.78,Ongoing,200041,21527,10.76,1.52,Rahul Sharma,
CMP00028,Seasonal Campaign Dream,Radio,2023-09-10,2024-11-14,69064.2,1006,3.34,6812.16,Planned,792743,35296,4.45,2.0,Neha Sharma,
CMP00029,Brand Awareness Job,Radio,2023-10-08,2024-03-27,93726.27,820,1.6,34871.0,Completed,104355,27183,26.05,5.64,Sanjay Joshi,
CMP00030,Event Promotion Clearly,Search Engine,2023-12-07,2024-11-07,22093.6,4658,10.98,134493.15,Planned,236796,21610,9.13,3.41,Amit Mehta,
CMP00031,Brand Awareness Improve,Email,2023-06-17,2024-09-10,60176.65,723,1.34,28613.06,Planned,215176,44164,20.52,8.52,Neha Desai,
CMP00032,Event Promotion Tell,Influencer,2024-03-03,2025-05-07,10734.13,3005,12.45,139100.77,Ongoing,185779,7913,4.26,1.13,Amit Patel,
CMP00033,Brand Awareness Himself,Email,2024-04-23,2024-10-06,38320.02,1306,6.16,40504.86,Planned,348449,31698,9.1,4.41,Amit Reddy,
CMP00034,Seasonal Campaign Time,TV,2023-06-14,2024-02-04,6801.67,41,14.34,334.88,Planned,422909,47282,11.18,4.04,Neha Kumar,
CMP00035,Product Launch Father,Influencer,2024-03-19,2025-02-19,37183.71,2502,12.61,108000.54,Completed,990436,27670,2.79,1.17,Meena Gupta,
CMP00036,Seasonal Campaign Entire,Social Media,2023-09-04,2024-05-29,9707.12,3696,11.68,54160.24,Ongoing,259795,27182,10.46,2.12,Amit Patel,
CMP00037,Discount Offer Bag,Newspaper,2023-07-19,2024-05-22,6279.16,136,9.62,4297.85,Ongoing,487232,29341,6.02,4.72,Amit Reddy,
CMP00038,Brand Awareness Benefit,TV,2023-06-25,2024-01-24,89085.57,520,13.02,7877.16,Ongoing,918040,30778,3.35,5.44,Kiran Gupta,
CMP00039,Event Promotion Professor,Influencer,2023-07-10,2024-01-12,87170.38,3923,0.85,170995.81,Ongoing,501186,44669,8.91,4.64,Amit Mehta,
CMP00040,Product Launch Issue,Influencer,2023-07-23,2024-04-02,59571.63,1341,10.32,28344.56,Planned,157730,11845,7.51,5.78,Vikram Joshi,
CMP00041,Event Promotion Miss,Social Media,2024-02-10,2025-08-23,35864.49,4360,12.02,173593.82,Planned,871910,26129,3.0,6.36,Amit Verma,
CMP00042,Product Launch Whether,Influencer,2024-05-24,2025-01-30,71418.69,3788,4.79,67022.77,Ongoing,385681,13125,3.4,1.09,Neha Mehta,
CMP00043,Brand Awareness Rule,Email,2023-10-30,2024-12-15,92673.75,4282,7.1,178972.82,Planned,150503,36224,24.07,5.18,Priya Joshi,
CMP00044,Brand Awareness Move,Influencer,2024-04-05,2024-08-24,13126.96,3983,14.95,21323.14,Ongoing,655811,14388,2.19,9.67,Vikram Mehta,
CMP00045,Brand Awareness Debate,Influencer,2023-12-08,2024-06-19,75283.57,379,8.78,2920.11,Completed,528035,23750,4.5,5.67,Vikram Kumar,
CMP00046,Discount Offer Miss,TV,2024-05-13,2024-10-08,45589.46,1120,11.4,9215.81,Planned,649143,6640,1.02,7.1,Amit Desai,
CMP00047,Product Launch This,TV,2024-05-10,2024-07-09,10821.31,2510,7.45,104491.18,Planned,453366,32332,7.13,3.81,Neha Desai,
CMP00048,Seasonal Campaign Least,Social Media,2024-02-01,2024-03-03,20685.53,704,1.87,33072.38,Completed,66725,16522,24.76,7.97,Rahul Joshi,
CMP00049,Discount Offer Police,TV,2023-11-03,2024-08-20,96065.1,4365,7.44,142009.71,Completed,130981,3442,2.63,7.96,Neha Reddy,
CMP00050,Seasonal Campaign Draw,Influencer,2023-11-05,2025-08-16,8030.58,3309,5.53,85266.06,Completed,85654,41946,48.97,5.69,Rahul Joshi,
CMP00051,Event Promotion Probably,TV,2023-12-28,2025-03-30,91797.8,3373,1.08,67471.52,Completed,954277,35712,3.74,9.78,Meena Desai,
CMP00052,Brand Awareness Big,Social Media,2023-12-19,2024-04-21,67511.09,2425,4.84,104675.32,Planned,906778,10496,1.16,2.13,Neha Gupta,
CMP00053,Brand Awareness College,Social Media,2023-12-13,2024-05-05,98036.9,2727,4.58,41415.43,Completed,592723,17582,2.97,1.15,Rahul Sharma,
CMP00054,Brand Awareness Though,Social Media,2023-12-03,2025-05-24,97017.0,4226,12.86,158159.47,Planned,320030,23511,7.35,7.93,Neha Verma,
CMP00055,Discount Offer Western,Newspaper,2023-07-12,2023-11-07,11736.3,44,6.77,585.32,Ongoing,329947,46866,14.2,8.26,Anita Sharma,
CMP00056,Brand Awareness Go,Social Media,2024-03-05,2024-12-24,97824.83,3093,4.96,49935.47,Completed,556839,13361,2.4,2.08,Meena Kumar,
CMP00057,Seasonal Campaign Go,TV,2023-12-01,2024-12-29,15774.63,2578,6.3,16549.81,Completed,903648,3193,0.35,3.39,Rahul Patel,
CMP00058,Discount Offer Young,Search Engine,2024-01-24,2024-12-03,28425.24,2317,3.18,70527.64,Completed,274538,11822,4.31,1.16,Priya Reddy,
CMP00059,Discount Offer Lay,Social Media,2024-01-05,2024-07-25,31014.69,2242,14.75,18057.88,Completed,332236,22142,6.66,3.64,Ravi Sharma,
CMP00060,Event Promotion Detail,Social Media,2023-10-22,2025-07-31,32221.41,2566,3.44,80500.29,Ongoing,529178,44513,8.41,7.96,Rahul Desai,
CMP00061,Event Promotion Character,Social Media,2023-12-19,2025-01-23,41278.6,4784,6.35,236116.87,Planned,566894,47951,8.46,5.66,Vikram Chopra,
CMP00062,Product Launch Actually,Search Engine,2023-05-31,2024-08-06,30779.06,387,0.79,4064.8,Completed,490492,28187,5.75,4.13,Neha Gupta,
CMP00063,Discount Offer Like,TV,2024-03-07,2024-04-28,4826.03,3875,4.45,180643.13,Ongoing,257840,32447,12.58,4.35,Kiran Desai,
CMP00064,Event Promotion Natural,Newspaper,2023-11-12,2023-11-21,81102.53,3902,9.32,121886.8,Completed,474254,33856,7.14,1.01,Kiran Reddy,
CMP00065,Seasonal Campaign Trade,Influencer,2023-05-31,2024-02-05,82366.47,4755,14.32,199515.93,Completed,350457,39314,11.22,3.7,Kiran Desai,
CMP00066,Discount Offer Catch,Radio,2023-08-29,2024-01-11,25045.64,3376,2.49,99106.44,Completed,666987,16435,2.46,6.82,Vikram Gupta,
CMP00067,Discount Offer Key,Radio,2023-12-28,2025-01-27,24390.98,4346,1.34,216678.44,Completed,271936,28702,10.55,9.77,Meena Chopra,
CMP00068,Seasonal Campaign Matter,Radio,2023-10-28,2025-07-14,82534.79,2522,5.65,78722.49,Planned,240931,49001,20.34,8.62,Vikram Desai,
CMP00069,Product Launch Person,Newspaper,2024-01-04,2025-05-20,54091.86,2794,4.86,126500.21,Planned,240629,34550,14.36,1.21,Priya Patel,
CMP00070,Discount Offer Respond,Radio,2024-04-16,2024-04-23,85001.03,2201,13.21,37836.26,Ongoing,206041,32296,15.67,9.09,Anita Kumar,
CMP00071,Event Promotion Push,Search Engine,2023-10-20,2024-07-08,86531.71,4074,12.58,177244.99,Ongoing,699361,5726,0.82,8.05,Priya Verma,
CMP00072,Seasonal Campaign World,TV,2023-11-26,2025-03-24,33809.42,4801,2.08,194726.87,Planned,732912,7524,1.03,8.02,Kiran Kumar,
CMP00073,Event Promotion Though,Radio,2023-12-22,2024-10-19,82703.48,1230,8.92,57112.93,Planned,418113,12957,3.1,5.12,Ravi Mehta,
CMP00074,Seasonal Campaign Parent,Newspaper,2023-11-05,2024-05-23,43033.81,4903,7.52,92904.44,Completed,69148,45023,65.11,4.58,Sanjay Gupta,
CMP00075,Product Launch Huge,Email,2023-06-25,2024-03-26,28062.56,3556,11.24,134927.15,Ongoing,778089,20082,2.58,3.73,Ravi Sharma,
CMP00076,Seasonal Campaign Easy,Newspaper,2024-01-15,2025-05-04,90736.34,4208,14.12,185316.87,Planned,649531,11525,1.77,1.59,Priya Chopra,
CMP00077,Discount Offer Help,Influencer,2023-07-24,2023-07-25,94024.82,1496,4.89,14395.0,Completed,252995,2080,0.82,3.05,Neha Sharma,
CMP00078,Seasonal Campaign Morning,Radio,2023-12-03,2023-12-27,20371.35,3215,14.38,64010.28,Ongoing,907606,48390,5.33,3.22,Neha Reddy,
CMP00079,Discount Offer Into,Search Engine,2023-06-17,2023-07-10,31923.32,3113,11.77,134879.2,Ongoing,679843,26531,3.9,5.36,Neha Chopra,
CMP00080,Event Promotion Ever,TV,2024-03-28,2024-08-04,12947.64,4509,6.33,98620.88,Completed,911790,19540,2.14,7.73,Rahul Kumar,
CMP00081,Seasonal Campaign My,Influencer,2023-09-26,2024-12-08,26232.54,2659,3.4,25425.07,Ongoing,573843,41852,7.29,5.26,Meena Mehta,
CMP00082,Brand Awareness Laugh,Newspaper,2024-03-10,2025-08-09,70153.71,2384,4.0,113003.85,Ongoing,257508,17275,6.71,1.52,Ravi Kumar,
CMP00083,Discount Offer Reveal,Search Engine,2024-05-06,2024-06-28,87514.67,4471,4.6,158932.25,Ongoing,804591,48751,6.06,9.62,Amit Patel,
CMP00084,Brand Awareness Program,Social Media,2024-01-11,2025-08-03,77391.2,2645,6.31,29178.15,Planned,897942,26485,2.95,9.48,Vikram Chopra,
CMP00085,Brand Awareness Reason,TV,2024-01-26,2024-04-23,18413.45,4175,13.68,42783.29,Planned,107530,38258,35.58,8.07,Rahul Kumar,
CMP00086,Seasonal Campaign Executive,Influencer,2023-06-11,2024-07-30,51991.3,3139,8.18,22741.56,Ongoing,605365,23119,3.82,9.92,Anita Patel,
CMP00087,Event Promotion Network,Newspaper,2024-02-26,2025-01-21,25969.65,251,4.72,9323.97,Planned,823352,18739,2.28,5.9,Rahul Kumar,
CMP00088,Seasonal Campaign Hard,Newspaper,2023-10-08,2025-06-30,83334.43,4336,9.16,148364.78,Ongoing,461337,20094,4.36,9.66,Priya Gupta,
CMP00089,Discount Offer Event,Radio,2023-11-02,2025-06-16,6308.16,470,4.1,6359.27,Ongoing,725839,34475,4.75,1.68,Sanjay Chopra,
CMP00090,Discount Offer Month,Influencer,2023-10-10,2023-11-01,6503.01,3347,3.88,165493.39,Ongoing,806889,21663,2.68,4.29,Vikram Mehta,
CMP00091,Seasonal Campaign Concern,Newspaper,2023-07-19,2025-01-24,63355.43,3196,9.07,82992.3,Completed,460773,39441,8.56,3.03,Anita Kumar,
CMP00092,Product Launch North,Radio,2023-10-02,2024-05-04,69440.35,4435,7.81,188491.75,Ongoing,209261,5876,2.81,2.76,Rahul Chopra,
CMP00093,Discount Offer Century,Email,2024-04-27,2024-11-12,42387.17,1549,1.37,8080.02,Planned,765469,36544,4.77,2.27,Anita Desai,
CMP00094,Discount Offer Face,Radio,2024-01-18,2024-11-23,89841.18,2114,3.92,96589.73,Completed,342097,3480,1.02,6.6,Anita Verma,
CMP00095,Event Promotion Up,Social Media,2024-05-11,2025-01-07,36077.95,2611,13.07,68318.28,Planned,316139,8811,2.79,8.03,Vikram Patel,
CMP00096,Event Promotion Home,TV,2024-04-12,2025-08-02,21513.01,2175,3.89,88782.06,Completed,172829,8882,5.14,6.2,Anita Kumar,
CMP00097,Discount Offer Behind,Social Media,2024-05-15,2024-12-10,38819.51,2113,3.6,28765.68,Completed,272836,17534,6.43,2.32,Meena Reddy,
CMP00098,Seasonal Campaign Scene,Search Engine,2023-07-18,2024-04-17,74920.3,3153,14.53,44422.37,Planned,439974,46865,10.65,8.3,Neha Verma,
CMP00099,Discount Offer Owner,Social Media,2024-01-21,2025-06-17,71789.92,3339,11.14,34784.02,Planned,990913,20117,2.03,6.72,Priya Mehta,
CMP00100,Brand Awareness Way,Radio,2024-03-29,2025-05-11,27053.2,3357,4.82,40697.59,Planned,203283,30807,15.15,4.49,Ravi Kumar,
CMP00101,Seasonal Campaign From,Search Engine,2023-06-07,2023-12-14,18592.99,3845,5.58,131449.31,Ongoing,197769,39210,19.83,7.07,Ravi Kumar,
CMP00102,Product Launch Experience,Social Media,2024-03-26,2025-02-21,56075.17,3045,2.48,90712.29,Ongoing,562353,17443,3.1,3.34,Amit Sharma,
CMP00103,Product Launch Lead,Newspaper,2023-08-25,2025-08-15,67857.95,4870,8.97,197676.69,Ongoing,224165,38927,17.37,4.11,Priya Sharma,
CMP00104,Product Launch No,Social Media,2023-10-16,2024-08-13,62139.7,3019,3.59,15961.61,Ongoing,624587,41752,6.68,9.26,Amit Reddy,
CMP00105,Brand Awareness Movie,TV,2023-07-07,2025-05-06,40815.37,4639,8.58,77765.13,Planned,951110,5755,0.61,3.61,Rahul Chopra,
CMP00106,Discount Offer Success,Email,2024-04-06,2025-03-13,75875.31,4191,10.11,139516.18,Ongoing,536822,44959,8.38,5.23,Priya Gupta,
CMP00107,Event Promotion Make,Radio,2023-12-06,2024-06-14,68600.44,4793,7.54,54143.54,Planned,488879,15351,3.14,9.01,Kiran Patel,
CMP00108,Product Launch Town,Influencer,2024-02-15,2024-07-01,68120.63,1878,6.35,72717.83,Planned,565685,626,0.11,7.37,Ravi Desai,
CMP00109,Discount Offer Magazine,Newspaper,2023-07-18,2023-08-26,7989.89,2434,3.1,83318.47,Ongoing,783038,3324,0.42,1.56,Vikram Gupta,
CMP00110,Seasonal Campaign More,Influencer,2023-11-14,2024-06-22,49926.62,3438,12.56,138144.25,Ongoing,354531,47937,13.52,2.33,Priya Patel,
CMP00111,Event Promotion Animal,TV,2023-11-05,2025-08-11,78896.19,1835,4.75,12638.89,Completed,264160,11636,4.4,1.07,Meena Mehta,
CMP00112,Seasonal Campaign Arm,Newspaper,2023-12-26,2024-04-13,40260.24,379,3.08,7137.83,Ongoing,580879,28641,4.93,6.68,Priya Chopra,
CMP00113,Discount Offer Report,Email,2024-04-16,2025-07-13,80766.79,4156,8.89,41874.27,Ongoing,221884,13647,6.15,5.03,Ravi Desai,
CMP00114,Discount Offer We,Influencer,2023-10-22,2025-07-29,95121.89,4193,8.16,114977.72,Planned,24247,34631,100.0,2.21,Anita Kumar,
CMP00115,Event Promotion Threat,Radio,2024-02-22,2024-09-01,91401.2,2734,14.17,25610.89,Planned,25300,8812,34.83,9.62,Rahul Desai,
CMP00116,Seasonal Campaign Reason,Search Engine,2024-02-17,2024-03-31,52803.85,4893,13.74,102719.73,Planned,468281,38665,8.26,5.77,Ravi Mehta,
CMP00117,Product Launch Really,Newspaper,2023-08-02,2025-03-17,10822.13,4646,10.76,107805.86,Ongoing,608086,9308,1.53,3.18,Ravi Desai,
CMP00118,Seasonal Campaign Mouth,Search Engine,2023-10-25,2024-10-07,61185.63,830,6.73,36376.01,Completed,534556,5209,0.97,5.51,Neha Verma,
CMP00119,Event Promotion Movement,Influencer,2023-08-27,2024-11-21,8645.55,4562,13.32,188330.39,Planned,349951,49368,14.11,7.12,Rahul Sharma,
CMP00120,Event Promotion Course,Social Media,2023-11-15,2024-03-07,32672.97,3056,2.03,22971.77,Ongoing,275329,35301,12.82,1.69,Vikram Gupta,
CMP00121,Discount Offer Discover,Search Engine,2024-01-05,2024-06-27,84411.15,2226,7.89,28030.42,Ongoing,720064,17067,2.37,3.47,Neha Kumar,
CMP00122,Brand Awareness Class,Social Media,2023-10-21,2023-10-29,6579.22,2906,11.9,50436.42,Ongoing,743139,29859,4.02,8.26,Neha Mehta,
CMP00123,Event Promotion Very,Social Media,2024-04-30,2025-03-15,1361.79,2977,2.99,115265.26,Planned,433315,20272,4.68,5.14,Priya Gupta,
CMP00124,Brand Awareness Skin,Social Media,2024-05-18,2024-11-22,57349.26,2843,12.79,36915.94,Planned,927075,37035,3.99,5.92,Vikram Kumar,
CMP00125,Seasonal Campaign Back,Influencer,2023-07-07,2025-04-20,17702.68,4807,5.06,61273.89,Ongoing,517588,26689,5.16,4.9,Rahul Verma,
CMP00126,Event Promotion Side,Email,2023-12-27,2024-11-07,91980.66,3982,6.16,68224.7,Planned,237584,30115,12.68,1.4,Meena Gupta,
CMP00127,Discount Offer Administration,Radio,2024-02-01,2025-05-05,23876.42,3402,6.03,149894.87,Completed,563332,29109,5.17,2.49,Neha Gupta,
CMP00128,Brand Awareness Instead,Email,2023-10-10,2025-04-06,99120.97,2181,8.14,82312.67,Ongoing,838646,17873,2.13,5.01,Priya Desai,
CMP00129,Seasonal Campaign Stage,Newspaper,2023-09-25,2024-03-28,58165.92,2799,8.73,60921.62,Completed,979732,41225,4.21,2.88,Neha Gupta,
CMP00130,Seasonal Campaign Your,Newspaper,2024-03-27,2025-07-22,95318.67,385,1.32,5390.9,Completed,377896,26243,6.94,1.45,Anita Mehta,
CMP00131,Discount Offer Some,TV,2024-02-29,2024-10-08,79337.84,1893,13.81,50290.74,Ongoing,49984,6254,12.51,8.59,Rahul Verma,
CMP00132,Discount Offer Author,Newspaper,2024-05-24,2025-04-23,6139.82,3831,6.6,92376.95,Ongoing,303918,21904,7.21,9.83,Ravi Kumar,
CMP00133,Discount Offer Performance,Email,2023-10-24,2025-05-03,9116.25,3622,13.49,28896.5,Ongoing,265712,41788,15.73,8.14,Sanjay Patel,
CMP00134,Event Promotion Human,Newspaper,2023-06-05,2024-06-02,50082.11,4785,4.04,32809.72,Planned,121151,20681,17.07,8.68,Neha Joshi,
CMP00135,Brand Awareness Clear,Radio,2023-12-19,2024-03-03,95601.29,993,7.95,5278.36,Completed,456808,30187,6.61,3.18,Amit Sharma,
CMP00136,Seasonal Campaign Family,Social Media,2024-05-15,2025-06-03,89840.92,2448,2.31,59437.97,Completed,986067,33081,3.35,9.65,Anita Reddy,
CMP00137,Product Launch Difficult,Influencer,2023-11-18,2024-05-18,91131.83,778,6.28,31298.48,Completed,134767,3862,2.87,2.77,Kiran Desai,
CMP00138,Brand Awareness Exist,Influencer,2023-07-16,2025-08-15,86615.05,1938,6.85,32808.21,Planned,649663,46267,7.12,9.56,Anita Verma,
CMP00139,Seasonal Campaign Long,Search Engine,2023-12-15,2025-07-22,42824.08,1451,12.38,68135.18,Completed,704550,9868,1.4,9.95,Meena Patel,
CMP00140,Event Promotion Tv,Newspaper,2024-04-14,2025-01-26,85582.26,626,9.03,23093.95,Ongoing,137330,43508,31.68,7.41,Vikram Sharma,
CMP00141,Discount Offer Employee,Radio,2024-02-13,2024-08-23,71697.75,491,7.77,12166.68,Completed,481754,39599,8.22,9.83,Neha Gupta,
CMP00142,Brand Awareness Player,Radio,2023-10-25,2024-09-15,19240.97,1328,3.69,51473.77,Ongoing,302648,38659,12.77,6.13,Priya Kumar,
CMP00143,Discount Offer Total,Influencer,2024-05-07,2025-02-05,49048.15,2710,0.74,117658.1,Completed,689519,48690,7.06,3.34,Sanjay Desai,
CMP00144,Product Launch Put,Search Engine,2024-05-16,2024-11-28,93932.67,2462,13.2,86744.46,Ongoing,14986,8883,59.28,4.93,Meena Sharma,
CMP00145,Discount Offer Hundred,Newspaper,2024-01-10,2025-01-06,62253.47,1649,5.51,18809.97,Ongoing,587146,46489,7.92,6.34,Vikram Verma,
CMP00146,Event Promotion Man,TV,2023-09-16,2025-01-10,58965.82,2984,10.35,53369.11,Planned,130312,29881,22.93,1.66,Rahul Reddy,
CMP00147,Event Promotion Mrs,Newspaper,2023-12-19,2024-03-26,90687.45,131,8.76,5907.05,Ongoing,13666,30911,100.0,6.6,Sanjay Patel,
CMP00148,Seasonal Campaign Strategy,Email,2024-03-18,2024-06-04,83149.82,441,14.98,3212.53,Completed,301804,48887,16.2,9.83,Ravi Gupta,
CMP00149,Brand Awareness Common,Newspaper,2024-03-15,2024-09-13,63872.76,166,5.74,4327.35,Planned,135633,35588,26.24,2.71,Vikram Patel,
CMP00150,Discount Offer Necessary,Radio,2023-07-19,2023-10-23,5692.21,2106,8.48,97209.56,Ongoing,289998,9005,3.11,8.13,Sanjay Patel,
CMP00151,Event Promotion Outside,Radio,2024-05-02,2024-10-27,55893.96,1391,5.21,27206.75,Completed,851937,9227,1.08,9.17,Amit Verma,
CMP00152,Product Launch View,Email,2023-10-26,2024-09-27,20812.8,1224,3.87,15983.72,Completed,629776,22531,3.58,9.49,Rahul Joshi,
CMP00153,Brand Awareness For,TV,2024-05-02,2024-06-18,72091.95,2257,14.43,62815.76,Completed,708611,49253,6.95,9.64,Sanjay Desai,
CMP00154,Product Launch Subject,Radio,2024-03-31,2024-04-25,50592.1,4510,3.21,129499.99,Completed,285806,6468,2.26,5.69,Anita Joshi,
CMP00155,Seasonal Campaign Perform,Newspaper,2024-03-09,2025-07-18,9495.51,3499,1.33,128781.0,Planned,795824,27524,3.46,9.8,Sanjay Verma,
CMP00156,Brand Awareness Crime,Search Engine,2023-08-02,2023-10-26,47035.79,4269,10.03,190077.77,Ongoing,31535,46924,100.0,7.82,Vikram Chopra,
CMP00157,Discount Offer Score,TV,2023-09-02,2023-09-06,91287.5,3987,10.76,197780.38,Planned,997107,45104,4.52,2.46,Priya Chopra,
CMP00158,Discount Offer Indicate,Newspaper,2024-01-01,2024-08-09,84379.11,2047,5.83,79665.94,Ongoing,376713,18433,4.89,5.29,Anita Verma,
CMP00159,Discount Offer On,Search Engine,2023-11-28,2025-03-15,72890.42,4915,5.88,159237.01,Planned,839688,23216,2.76,7.46,Neha Joshi,
CMP00160,Discount Offer Successful,Influencer,2023-10-01,2025-04-21,21856.55,4136,1.06,151195.09,Planned,352279,47319,13.43,3.23,Sanjay Kumar,
CMP00161,Seasonal Campaign Recently,Influencer,2024-01-05,2024-10-01,43975.67,2914,6.38,45342.56,Planned,914910,43301,4.73,6.77,Ravi Patel,
CMP00162,Brand Awareness Effect,TV,2023-10-13,2023-11-05,56703.18,4760,4.5,54716.49,Planned,822654,15625,1.9,7.0,Kiran Kumar,
CMP00163,Event Promotion Term,Email,2023-10-06,2024-08-26,18313.26,1468,3.83,68950.76,Completed,602661,23498,3.9,2.46,Neha Chopra,
CMP00164,Brand Awareness Right,Influencer,2023-07-12,2024-03-08,16105.38,4288,2.48,202517.23,Planned,998079,32957,3.3,6.09,Neha Gupta,
CMP00165,Seasonal Campaign Run,Email,2023-11-11,2025-07-04,84594.11,1277,13.27,46601.81,Completed,648972,10461,1.61,7.94,Ravi Patel,
CMP00166,Brand Awareness Top,Search Engine,2024-03-14,2024-06-28,56835.06,3051,12.9,149060.98,Planned,490570,16469,3.36,5.49,Kiran Sharma,
CMP00167,Seasonal Campaign Fire,Email,2024-01-13,2025-04-21,93305.72,1217,7.47,39765.18,Ongoing,457551,3141,0.69,1.11,Sanjay Chopra,
CMP00168,Seasonal Campaign Hundred,Influencer,2024-03-18,2025-06-12,98122.97,1043,4.31,28381.53,Completed,274109,205,0.07,1.08,Sanjay Mehta,
CMP00169,Discount Offer Others,Influencer,2023-07-05,2023-11-14,53180.88,164,9.06,6465.7,Planned,25538,9178,35.94,4.21,Vikram Kumar,
CMP00170,Product Launch News,Newspaper,2024-03-04,2025-04-29,40297.28,4499,6.79,158122.51,Planned,895498,25103,2.8,9.34,Sanjay Chopra,
CMP00171,Product Launch Pick,Radio,2023-11-05,2024-11-26,1078.3,4972,6.64,176211.44,Completed,202664,6190,3.05,3.06,Rahul Desai,
CMP00172,Discount Offer Set,TV,2024-03-03,2025-02-11,74254.24,74,3.71,682.39,Ongoing,492234,38950,7.91,6.71,Sanjay Kumar,
CMP00173,Brand Awareness Range,Influencer,2023-09-02,2024-08-29,7235.74,315,14.58,7161.72,Ongoing,900684,49886,5.54,3.0,Anita Joshi,
